filename,product_name,artist,category,macro_niche,micro_niche,nano_niche,keywords,design_style,reason
squirrel_t-shirt_11.jpg,Squirrel T-Shirt,MightTs,Humor,Dark Humor,Offensive Jokes,Dead Squirrel Quote,squirrel; dead squirrel; tree rats; kill them all; god sort them out; dark humor; offensive; funny squirrel; hunting; pest control,photographic,"The design features a dead squirrel with a dark humorous quote, fitting the 'Offensive Jokes' micro-niche within 'Dark Humor'."
ravens_t-shirt_13.jpg,Ravens T-Shirt,vvilczy,Animals,Wildlife,Ravens,Two Ravens with Glowing Eyes Illustration,ravens; crows; gothic; dark art; bird; wildlife; spooky; moon; glowing eyes; occult,illustration,"The design features two ravens with glowing eyes, which falls under the Wildlife macro niche, and the specific subject is ravens."
penguin_t-shirt_14.jpg,Penguin T-Shirt,littlemandyart,Animals,Wildlife,Penguins,Cute Penguin Illustration,penguin; cute; animal; cartoon; happy; bird; arctic; chibi; kawaii; simple,cartoon,"The design features a simple, cute, and happy cartoon penguin, which fits best under the 'Animals' category and 'Wildlife' macro niche, with a custom micro and nano niche for specificity."
mesozoic_era_t-shirt_16.jpg,Mesozoic_Era T-Shirt,opawapo,Pop Culture,Sci-Fi Movies,Space Theme,Neon Dinosaur Skeleton,dinosaur; skeleton; neon; retro; 80s; sci-fi; space; galaxy; geometric; T-Rex,graphic,"The design features a dinosaur skeleton with a neon, retro-futuristic aesthetic, set against a cosmic background with geometric shapes, evoking a sci-fi or space theme."
do_not_narcan_me_t-shirt_40.jpg,Do Not Narcan Me T-Shirt,Baba Malik,Humor,Dark Humor,Offensive Jokes,Narcan Humor,narcan; dont narcan me; dont blow my high; dark humor; offensive; controversial; drug humor; sarcastic; funny; stop sign,typography,"The design uses bold typography and a controversial phrase related to drug use, fitting into dark and offensive humor."
bunny_t-shirt_41.jpg,Bunny T-Shirt,Noodleink,Pets,Small Animals,Rabbits,Cute Bunny with Sarcastic Quote,cute bunny; rabbit; cute but psycho; sarcastic humor; funny animal; pet lover; floral bunny; kawaii bunny; dark humor,illustration,"The design features a cute bunny illustration with a sarcastic text overlay, fitting the 'Small Animals' macro niche and 'Rabbits' micro niche, with an added layer of humor."
the_spooky_warrior_duck_t-shirt_15.jpg,The Spooky Warrior Duck T-Shirt,KilkennyCat Art,Animals,Wildlife,Ducks,Spooky Warrior Duck,spooky duck; warrior duck; cute monster; halloween duck; fantasy duck; chibi duck; duck with horns; duck with axe; funny halloween; duck costume,cartoon,"The design features a cute duck dressed as a spooky warrior, combining animal and fantasy elements with a cartoon style."
funny_ferret_selfie_with_t-rex_dinosaur_t-shirt_17.jpg,Funny Ferret Selfie with T-Rex Dinosaur T-Shirt,Majesty article,Animals,Wildlife,Suggest: Dinosaurs,Funny Ferret T-Rex Selfie,ferret; T-Rex; dinosaur; funny animal; pet; wildlife; jurassic; selfie; humor,photographic,"The design features a ferret in the foreground with a T-Rex in the background, creating a humorous and unexpected animal interaction."
jurassic_ukiyo-e_1_t-shirt_18.jpg,Jurassic Ukiyo-e 1 T-Shirt,Meowster Catana by Vincent Trinidad Art,Pop Culture,Movies,Fantasy Movies,Ukiyo-e Dinosaur Landscape,dinosaur; jurassic; ukiyo-e; japanese art; mount fuji; stegosaurus; triceratops; brachiosaurus; prehistoric; fantasy,Japanese/ukiyo-e,"The design features dinosaurs in a traditional Japanese ukiyo-e art style, combining elements of fantasy movies with a distinct art style."
lucys_psychiatric_help_t-shirt_19.jpg,Lucy's Psychiatric Help T-Shirt,Likeyi,Pop Culture,TV Shows,Cartoons,Peanuts Lucy Psychiatric Help,Peanuts; Lucy van Pelt; psychiatric help; cartoon; comic strip; Snoopy; Charlie Brown; retro cartoon; funny; vintage,cartoon,"The design features Lucy from the classic Peanuts cartoon offering psychiatric help, directly fitting the 'Cartoons' micro-niche within 'Pop Culture' and 'TV Shows'."
my_spirit_animal_is_a_sloth_t-shirt_20.jpg,My spirit animal is a sloth T-Shirt,LunaMay,Animals,Wildlife,Sloth,Cute Sloth Illustration,sloth; spirit animal; cute sloth; lazy animal; animal lover; funny sloth; sloth gift; wildlife; cartoon sloth; sloth quote,cartoon,"The design features a cartoon sloth and a quote about it being a spirit animal, fitting the 'Animals' category and 'Wildlife' macro niche, with a specific 'Sloth' micro niche."
id_rather_be_playing_tag_gorilla_monkey_gorilla_vr_gamer_t-s_21.jpg,I'd Rather Be Playing Tag Gorilla Monkey Gorilla Vr Gamer T-Shirt,Smoog Luna,Gaming,Lifestyle,Gamer,VR Gorilla Gamer,VR gamer; gorilla VR; virtual reality; gaming ape; funny gamer; retro gaming; tag game; monkey VR; gamer humor,"graphic, retro, cartoon","The design features a gorilla wearing a VR headset with a retro sunset background and text related to gaming, clearly fitting the 'Gamer' micro-niche within the 'Gaming' category."
gorilla_tag_lets_go_monke_team_t-shirt_vr_t-shirt_22.jpg,Gorilla Tag Let's Go Monke Team T-Shirt VR T-Shirt,gorillatagshop,Gaming,Esports,Competitive Gaming,Gorilla Tag VR Game Characters,Gorilla Tag; VR game; Monke Team; virtual reality; gaming; gamer; oculus; meta quest; multiplayer; ape,graphic,"The design features characters from the popular VR game 'Gorilla Tag', aligning with competitive gaming and VR culture."
space_turtles_t-shirt_23.jpg,Space Turtles T-Shirt,Maike Vierkant (@Maibbit),Pets,Reptiles,Turtle,Space Turtle Illustration,space turtle; cute turtle; astronaut turtle; galaxy turtle; star turtle; cosmic turtle; animal in space; kawaii turtle,illustration,"The design features two cute cartoon turtles floating in space, wearing astronaut helmets, which directly fits the 'Turtle' micro-niche and a custom 'Space Turtle Illustration' nano-niche."
scottish_kelpie_water_horse_mythological_spirit_tattoo_art_t_24.jpg,Scottish Kelpie Water Horse Mythological Spirit Tattoo Art T-Shirt,Yaymertch,Animals,Wildlife,Mythological Creatures,Scottish Kelpie Water Horse,Scottish Kelpie; Water Horse; Mythological Spirit; Fantasy Horse; Celtic Mythology; Folklore; Tattoo Art; Mystical Creature; Horse Lover; Fantasy Art,illustration,"The design features a Scottish Kelpie, a mythological water horse, rendered in a detailed illustration style reminiscent of tattoo art, which aligns with the 'Mythological Creatures' micro-niche."
man_bear_pig_south_park_t-shirt_25.jpg,Man Bear Pig (South Park) T-Shirt,Kebakkaran,Pop Culture,TV Shows,Cartoons,ManBearPig South Park,ManBearPig; South Park; Al Gore; cartoon; comedy; satire; half man; half bear; half pig,cartoon,"The design directly references the 'Man Bear Pig' character from the popular animated TV show South Park, fitting the Cartoons micro-niche."
the_earth_dragon_t-shirt_26.jpg,The Earth Dragon T-Shirt,Black &amp; Elise,Anime,Fantasy Anime,Dragon Theme,Earth Dragon Illustration,dragon; earth dragon; fantasy; mythical creature; asian dragon; oriental dragon; japanese dragon; chinese dragon; anime dragon; dragon art,illustration,"The design features a stylized dragon, which fits the 'Dragon Theme' under 'Fantasy Anime', and the title specifies 'Earth Dragon' for the nano niche."
frog_of_thunder_alt_print_t-shirt_27.jpg,Frog of Thunder (Alt Print) T-Shirt,Nerdology,Pop Culture,Movies,Superhero Style,Throg Frog Thor Parody,Throg; Frog Thor; Marvel parody; superhero frog; comic book; Nerdology; funny superhero; Mjolnir frog; thunder frog; geek culture,cartoon,"The design features Throg, a frog version of Thor from Marvel Comics, which falls under the superhero style within pop culture movies."
there_is_only_crab_t-shirt_28.jpg,There is only Crab T-Shirt,giovanniiiii,Humor,Sarcasm,Ironic Humor,Crab Meme Humor,crab; no gods no masters; there is only crab; funny crab; sarcastic; ironic; meme; animal humor; seafood joke; anarchy crab,"graphic, typography, distressed","The design features a crab illustration with a humorous and ironic phrase, fitting into the sarcastic and internet meme humor categories."
guppy_aircraft_t-shirt_29.jpg,Guppy Aircraft T-Shirt,Funky Aviation,Professions,Engineering,Mechanical Engineer,Guppy Aircraft Illustration,guppy aircraft; airplane; aviation; cargo plane; aircraft design; pilot gift; aerospace; vintage plane; propeller plane; airfish,illustration,"The design features a specific type of aircraft, the Guppy, which falls under the broader theme of aviation and mechanical engineering, and the style is a clear illustration."
islanders_fisherman_t-shirt_31.jpg,Islanders Fisherman T-Shirt,Dzsert/Elisha,Sports,Hockey,NHL Fans,New York Islanders Logo,Islanders; New York Islanders; NHL; Hockey; Fisherman logo; Sports fan; Team logo; Hockey fan,graphic,"The design features the iconic 'Fisherman' logo of the New York Islanders hockey team, which is a popular design for NHL fans."
i_may_be_wrong_but_i_doubt_it_t-shirt_32.jpg,I May Be Wrong But I Doubt It T-Shirt,The Shoviere,Humor,Sarcasm,Ironic Humor,I May Be Wrong But I Doubt It Quote,sarcastic; humor; doubt it; funny quote; witty; ironic; clever; statement; bold text; attitude,typography,"The design features a text-based sarcastic quote, fitting perfectly into the Ironic Humor micro-niche under Sarcasm."
adhd_t-shirt_33.jpg,ADHD T-Shirt,flimflamsam,Humor,Ironic Humor,Ironic Humor,ADHD AC/DC Logo Parody,ADHD; ACDC parody; attention deficit; neurodivergent; funny ADHD; rock band style; mental health humor; sarcastic; neurodiversity,typography,"The design uses a well-known rock band logo style to humorously represent ADHD, fitting into ironic humor."
everything_is_fine_t-shirt_34.jpg,Everything Is Fine T-Shirt,Zonix Graffiti,Humor,Memes,Internet Meme,This Is Fine Dog Meme,everything is fine; this is fine; dog meme; funny dog; fire meme; internet meme; sarcastic; humor; distressed; retro,"cartoon, distressed, retro","The design features the iconic 'This Is Fine' dog meme, which is a widely recognized internet meme, presented in a distressed, retro cartoon style."
heck_t-shirt_35.jpg,Heck T-Shirt,Possum Mood,Animals,Wildlife,Nano,Opossum Illustration,opossum; possum; heck; cute animal; funny animal; wildlife; pink opossum; animal lover; illustration,hand-drawn,"The design features a hand-drawn illustration of an opossum with the word 'heck', fitting into the general 'Wildlife' macro niche and a specific 'Opossum Illustration' nano niche."
who_the_fck_is_alice_t-shirt_36.jpg,Who the Fck Is Alice T-Shirt,Mama@rmi,Humor,Sarcasm,Ironic Humor,Smoking Rabbit Alice Quote,smoking rabbit; alice in wonderland; ironic humor; sarcastic; funny animal; dark humor; party animal; rabbit with cigarette; pop culture reference,"photographic, typography","The design features a rabbit smoking a cigarette with a sarcastic quote, fitting into ironic and dark humor."
omg_you_guys_thats_not_what_i_said_jesus_disappointed_t-shir_37.jpg,Omg You Guys That's Not What I Said Jesus Disappointed T-Shirt,Whimsy Wear Illustrations,Humor,Sarcasm,Ironic Humor,Disappointed Jesus Meme,jesus meme; funny jesus; sarcastic jesus; religious humor; facepalm jesus; omg you guys; that's not what i said; christian humor; disappointed god; ironic religious,illustration,"The design features a humorous and ironic depiction of Jesus with a facepalm, combined with a sarcastic quote, fitting perfectly into ironic humor within the sarcasm macro niche."
this_is_fine_t-shirt_38.jpg,This is Fine T-Shirt,Grunge Salad,Humor,Memes,Internet Meme,This is Fine Dog Meme,this is fine; dog meme; fire meme; internet meme; funny dog; everything is fine; comic meme; relatable meme; office meme; sarcastic meme,cartoon,The design is a direct representation of the popular 'This is Fine' internet meme featuring a dog in a burning room.
shut_the_fucupcakes_t-shirt_43.jpg,SHUT THE FUCUPCAKES T-Shirt,JohnetteMcdonnell,Humor,Sarcasm,Ironic Humor,Unicorn Baking Sarcasm,unicorn; cupcakes; baking; sarcastic; funny; humor; chef hat; rainbow hair; dessert; cute but rude,cartoon,"The design features a cute unicorn baking cupcakes with a sarcastic and slightly offensive phrase, fitting into ironic humor."
x_smiley_t-shirt_39.jpg,x Smiley T-Shirt,LightniNG Underground,Art,Design,Street Art,Distorted Smiley Face,smiley face; distorted; melting; grunge; streetwear; graffiti; punk; alternative; x eyes; drip,"graphic, distressed, streetwear","The design features a distorted, melting smiley face with 'x' eyes, which aligns with the aesthetic of street art and grunge culture."
caucasians_t-shirt_42.jpg,Caucasians T-Shirt,Fiends,Humor,Sarcasm,Ironic Humor,Caucasians Football Team Parody,caucasians; football; parody; humor; sarcasm; funny; distressed; vintage; redskins; washington,"graphic, distressed, vintage","The design is a clear parody of the Washington Redskins logo, using 'Caucasians' for ironic and sarcastic humor, fitting the 'Ironic Humor' micro-niche."
there_are_two_types_of_people_in_this_world_t-shirt_44.jpg,There Are Two Types Of People In This World T-Shirt,HayesHanna3bE2e,Humor,Geek Humor,Tech Joke,Extrapolation Joke,extrapolate; incomplete data; funny; geek humor; nerd joke; smart joke; programmer; math humor; sarcastic; clever,typography,"The design features a text-based joke about extrapolation, which falls under the category of intellectual or 'geek' humor, specifically a tech or math-related joke."
people_are_like_slinkies_t-shirt_45.jpg,People are Like Slinkies T-Shirt,UrbanLifeApparel,Humor,Sarcasm,Ironic Humor,Slinky Joke,slinky; sarcastic; funny; humor; joke; people are like slinkies; pushed down stairs; ironic; witty; clever,"typography, graphic","The design uses a sarcastic and ironic statement about people being like slinkies, fitting into the ironic humor micro-niche."
behind_the_bastards_legacy_t-shirt_46.jpg,Behind The Bastards Legacy T-Shirt,Baugh Carys,Pop Culture,TV Shows,Drama Series,Behind The Bastards Podcast Logo,Behind The Bastards; podcast; true crime; history; robert evans; machete; legacy; fan merch; pop culture; typography,graphic,"The design features the logo for the 'Behind The Bastards' podcast, which falls under pop culture and is a drama/history series."
ferda_boys_girls_t-shirt_48.jpg,Ferda Boys & Girls T-Shirt,TJF Design,Art,Design,Typography Art,Ferda Distressed Text,Ferda; distressed text; grunge typography; hockey slang; for the boys; for the girls; sports fan; casual wear; graphic tee,"typography, distressed","The design features the word 'Ferda' in a distressed, bold font, which falls under typography art and has a grunge aesthetic."
math_clock_meme_funny_mathematics_clock_math_meme_t-shirt_49.jpg,Math Clock Meme Funny Mathematics Clock Math Meme T-Shirt,ShirTomDesigns,Humor,Geek Humor,Math Humor,Math Clock Meme,math clock; funny math; mathematics; math teacher; math student; geek humor; nerd gift; science humor; algebra; calculus,typography,"The design features a clock face where each number is represented by a mathematical equation, which is a classic math-related joke and meme."
im_thinking_apple_wheel_of_death_design_t-shirt_52.jpg,I'm Thinking Apple Wheel of Death Design T-Shirt,Fisheyed Graphics,Humor,Geek Humor,Tech Joke,Apple Wheel of Death Humor,apple; mac; loading; spinning wheel; rainbow wheel; im thinking; computer humor; tech humor; geek humor; funny mac,graphic,"The design features the iconic Apple 'spinning wheel of death' with the text 'I'm Thinking', directly referencing a common tech frustration in a humorous way."
this_is_why_we_cant_have_nice_things_t-shirt_53.jpg,THIS IS WHY WE CAN'T HAVE NICE THINGS T-Shirt,obinsun,Animals,Cats,Funny Cat,Cat knocking over plant,funny cat; cat humor; cat lover; pet owner; naughty cat; cat mom; cat dad; plant lover; broken plant; cat mischief,illustration,"The design features a cat knocking over a potted plant with a humorous phrase, directly fitting the 'Funny Cat' micro-niche and the broader 'Animals > Cats' category."
the_horrors_persist_hamster_t-shirt_54.jpg,the horrors persist hamster T-Shirt,hunnydoll,Pets,Small Animals,Hamsters,Cute Hamster with Rainbow,hamster; cute hamster; rainbow; stars; heart glasses; peace sign; the horrors persist but so do i; funny hamster; kawaii; pet lover,cartoon,"The design features a cute cartoon hamster with a rainbow and stars, fitting perfectly into the 'Pets' category and 'Hamsters' micro-niche, with a humorous quote."
nope_cat_t-shirt_55.jpg,Nope Cat T-Shirt,ellenhenryart,Animals,Cats,Funny Cat,Nope Cat Sign,nope cat; funny cat; cat with sign; sarcastic cat; introvert cat; cat lover; pet humor; grumpy cat style; minimalist cat; cute cat,hand-drawn,"The design features a cartoon cat holding a 'Nope' sign, which clearly falls under the 'Funny Cat' micro-niche within the 'Animals/Cats' category."
silly_goose_on_the_loose_t-shirt_56.jpg,silly goose on the loose T-Shirt,onyxicca liar,Animals,Wildlife,Geese,Silly Goose with Sunglasses,silly goose; goose on the loose; funny goose; goose with sunglasses; retro goose; vintage goose; animal humor; farm animal; bird lover; distressed design,"graphic, distressed, retro","The design features a goose wearing sunglasses with a retro striped background and a humorous phrase, fitting the Animals category and a suggested 'Geese' micro-niche within Wildlife."
hello_darkness_my_old_friend_t-shirt_57.jpg,Hello Darkness My Old Friend T-Shirt,Vault Emporium,Humor,Sarcasm,Ironic Humor,Guinness Parody Hello Darkness,hello darkness; my old friend; guinness parody; beer humor; drinking shirt; funny beer; irish pub; st patricks day; sarcastic; introvert humor,typography,"The design uses a well-known song lyric in a humorous, ironic way, mimicking the Guinness logo, which fits the 'Ironic Humor' micro-niche under 'Sarcasm'."
weyland_yutani_t-shirt_58.jpg,Weyland Yutani T-Shirt,familiaritees,Pop Culture,Movies,Sci-Fi Movies,Weyland-Yutani Corp Logo,Weyland Yutani; Alien movie; sci-fi; corporate logo; distressed; building better worlds; space; horror; film; fan art,"badge/logo, distressed, typography","The design features the iconic Weyland-Yutani Corp logo from the Alien sci-fi movie franchise, making it a clear fit for Sci-Fi Movies under Pop Culture."
fedex_parody_fedup_01_t-shirt_59.jpg,FedEX Parody FedUP 01 T-Shirt,kaitokid,Humor,Sarcasm,Work Sucks Humor,FedEx Parody FedUp Logo,fedex parody; fedup; work humor; sarcastic; funny work shirt; office humor; delivery humor; shipping joke; corporate humor; fed up,typography,"The design is a parody of the FedEx logo, changing it to 'FedUp', which clearly falls under sarcastic work humor."
sans_retro_japanese_undertale_t-shirt_60.jpg,Sans Retro Japanese Undertale T-Shirt,Nova5,Gaming,Retro Games,Pixel Art,Sans Undertale Pixel Art,Sans; Undertale; pixel art; retro gaming; Japanese style; indie game; skeleton; video game character; distressed; gaming fan,"pixel-art, distressed, graphic","The design features Sans from the video game Undertale in a pixel art style, set against a distressed Japanese rising sun background, aligning with retro gaming and pixel art aesthetics."
no_robes_no_masters_-_teal_text_t-shirt_61.jpg,No Robes No Masters - Teal Text T-Shirt,5-4 Podcast,Art,Design,Graphic,Lady Justice Statue with Text,Lady Justice; statue; law; justice; legal; advocacy; political; activism; feminist; 5-4 Podcast,graphic,"The design features a graphic illustration of Lady Justice combined with a political or social statement, fitting a graphic design style with a specific subject."
knight_solaire_dark_souls_warriors_of_sunlight_t-shirt_62.jpg,Knight Solaire Dark Souls Warriors of Sunlight T-Shirt,TKL,Gaming,RPG Games,Fantasy RPG,Dark Souls Warriors of Sunlight Symbol,Dark Souls; Knight Solaire; Warriors of Sunlight; Praise the Sun; video game; fantasy RPG; gaming; soulsborne; sun symbol; fantasy,graphic,"The design features the iconic Warriors of Sunlight symbol from the Dark Souls video game, which is a fantasy RPG."
dungeons_dragons_t-shirt_63.jpg,Dungeons & Dragons T-Shirt,Bodya,Gaming,RPG Games,Fantasy RPG,Dungeons & Dragons Beholder and Dragonborn with D20,D&D; Dungeons and Dragons; Beholder; Dragonborn; D20; dice; fantasy; RPG; tabletop gaming; monster,illustration,"The design features iconic Dungeons & Dragons monsters (Beholder and Dragonborn) and a D20 dice, clearly classifying it under Fantasy RPG within the Gaming category."
introvert_but_willing_to_discuss_video_games_t-shirt_65.jpg,Introvert but willing to discuss video games T-Shirt,LunaMay,Humor,Sarcasm,Introvert Humor,Introvert Video Game Quote,introvert; video games; gamer; funny quote; sarcastic; social anxiety; gaming humor; shy; geek humor,typography,"The design features a text-based humorous quote about being an introvert but making an exception for video games, fitting perfectly into the 'Introvert Humor' micro-niche."
tupac-man_t-shirt_70.jpg,TUPAC-MAN T-Shirt,Snackin' and Yakkin' Swag,Pop Culture,TV Shows,Cartoons,Tupac Pac-Man Mashup,Tupac Shakur; Pac-Man; mashup; hip hop; rapper; gaming; retro game; funny; pop culture; 90s,graphic,"The design is a clear mashup of the iconic rapper Tupac Shakur and the classic video game character Pac-Man, fitting into pop culture and retro gaming themes."
neo-geo_logo_t-shirt_71.jpg,NEO-GEO logo T-Shirt,YAMARA,Gaming,Retro Games,Arcade Style,Neo-Geo Logo,Neo-Geo; SNK; arcade; retro gaming; vintage video game; console; 90s gaming; classic games; gamer gift,typography,"The design features the iconic Neo-Geo logo and SNK branding, directly referencing a classic arcade and home console system."
golgari_swarm_t-shirt_73.jpg,Golgari Swarm T-Shirt,ohitsmagic,Gaming,RPG Games,Fantasy RPG,Magic The Gathering Golgari Swarm,Magic The Gathering; MTG; Golgari Swarm; Ravnica; House of Dimir; Plant The Dead; fantasy; card game; gamer; geek,graphic,"The design features elements from the Magic: The Gathering universe, specifically the Golgari Swarm guild from Ravnica, which falls under the Fantasy RPG macro niche."
